CAM	participantCAM	id	daughterID	motherID	intensity	agreement	isBidirectional	isDeletable	isActive
2127	chbost2_2127	30620	30745	30855	9	0	0	NA	NA
2127	chbost2_2127	30615	30744	30764	9	0	0	NA	NA
2127	chbost2_2127	30609	30745	30764	9	0	0	NA	NA
2127	chbost2_2127	30606	30745	30754	9	0	0	NA	NA
2127	chbost2_2127	30604	30750	30754	9	0	0	NA	NA
2127	chbost2_2127	30602	30744	30754	9	0	0	NA	NA
2127	chbost2_2127	30597	30744	30750	9	0	0	NA	NA
2127	chbost2_2127	30594	30745	30750	9	0	0	NA	NA
2127	chbost2_2127	30591	30744	30745	9	0	0	NA	NA
2127	chbost2_2127	30587	30871	30876	9	0	0	NA	NA
2127	chbost2_2127	30585	30786	30800	6	1	0	NA	NA
2127	chbost2_2127	30583	30800	30817	6	1	0	NA	NA
2127	chbost2_2127	30580	30780	30817	6	1	0	NA	NA
2127	chbost2_2127	30579	30780	30795	6	1	0	NA	NA
2127	chbost2_2127	30578	30780	30786	9	1	0	NA	NA
2127	chbost2_2127	30577	30780	30812	9	1	0	NA	NA
2127	chbost2_2127	30574	30780	30808	9	1	0	NA	NA
2127	chbost2_2127	30572	30700	30731	9	1	0	NA	NA
2127	chbost2_2127	30567	30700	30728	9	1	0	NA	NA
2127	chbost2_2127	30565	30700	30712	9	1	0	NA	NA
2127	chbost2_2127	30562	30700	30739	9	1	0	NA	NA
2127	chbost2_2127	30560	30661	30820	6	1	0	NA	NA
2127	chbost2_2127	30559	30661	30871	6	1	0	NA	NA
2127	chbost2_2127	30558	30661	30780	9	1	0	NA	NA
2127	chbost2_2127	30555	30661	30824	9	0	0	NA	NA
2127	chbost2_2127	30553	30661	30744	9	0	0	NA	NA
2127	chbost2_2127	30550	30661	30700	9	1	0	NA	NA
2127	chbost2_2127	30549	30661	30700	6	1	0	NA	NA
2127	chbost2_2127	30543	30661	30866	6	1	0	NA	NA
2159	chrost2_2159	31229	31351	31353	9	1	1	NA	NA
2159	chrost2_2159	31228	31294	31351	9	1	1	NA	NA
2159	chrost2_2159	31222	31327	31348	9	1	1	NA	NA
2159	chrost2_2159	31215	31341	31346	9	1	1	NA	NA
2159	chrost2_2159	31209	31330	31341	9	1	1	NA	NA
