session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
608eaa3c753788d5fdcbf1fc,60069dee977ac9000b985f82,RETURNED,2021-05-02 13:33:52.852000,,78156.239706,32,70,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3ca37ebed88834c433,605a0e721e341cf7eb75c28e,RETURNED,2021-05-02 13:33:48.147000,,78160.944747,26,48,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3cb7453db21d1d63ae,5ea07fc202b8bd05bb59bc38,RETURNED,2021-05-02 13:36:12.311000,,78016.780785,72,374,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3d5c3ef7333af3c869,5edec2b3e095321650bddc22,AWAITING REVIEW,2021-05-02 13:34:05.702000,2021-05-02 14:28:43.432000,3277.73,34,415,2,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608eaa3d5f5c27392760f9de,603e257065fbaae107287bf7,RETURNED,2021-05-02 13:33:49.907000,,78159.19435,19,76,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3d6aabe2ae71e68c14,5f6b8c1f5622370b0c94d597,AWAITING REVIEW,2021-05-02 13:33:49.399000,2021-05-02 15:03:14.250000,5364.851,33,220,0,100,,2A25E7C1,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Male,No
608eaa3d81f4022538c14807,55b78162fdf99b0416ce544e,RETURNED,2021-05-02 13:44:00.125000,,77548.985597,45,507,4,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
608eaa3d8b6563c67bf6eeaf,5c44b3fe1bbffd0001014286,AWAITING REVIEW,2021-05-02 13:34:15.320000,2021-05-02 14:24:28.869000,3013.549,27,974,1,100,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
608eaa3db7c5d3038e756c59,5fd3a666364e0c05179d5d5b,AWAITING REVIEW,2021-05-02 13:33:49.834000,2021-05-02 14:43:40.403000,4190.569,19,48,0,100,,2A25E7C1,South Africa,South Africa,Unemployed (and job seeking),,English,South Africa,Female,Yes
608eaa3dcff70970c63d8c74,6044de15c6d07557bd594f75,AWAITING REVIEW,2021-05-02 13:34:06.328000,2021-05-02 15:07:12.430000,5586.102,21,31,1,100,,2A25E7C1,South Africa,South Africa,Unemployed (and job seeking),,English,South Africa,Male,Yes
608eaa3dd5be4af792139e47,5ea019431fa8990256915ea7,AWAITING REVIEW,2021-05-02 13:33:49.199000,2021-05-02 15:10:57.285000,5828.086,57,401,3,99,,2A25E7C1,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
